"",MUKLAS,AMROZI,IMRON,SAMUDRA,DULMATIN,IDRIS,MUBAROK,AZAHARI,GHONI,ARNASAN,RAUF,OCTAVIA,HIDAYAT,JUNAEDI,PATEK,FERI,SARIJO
MUKLAS,0,2,2,1,1,5,0,1,1,0,0,0,0,0,1,0,1
AMROZI,2,0,0,2,0,4,5,0,0,0,0,0,0,0,0,0,0
IMRON,2,0,0,3,5,3,0,5,5,0,0,0,0,0,5,1,5
SAMUDRA,1,2,3,0,2,5,2,2,2,2,2,2,2,2,2,0,2
DULMATIN,1,0,5,2,0,2,0,5,5,0,0,0,0,0,5,1,5
IDRIS,5,4,3,5,2,0,2,2,2,0,0,0,0,0,2,0,2
MUBAROK,0,5,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0
AZAHARI,1,0,5,2,5,2,0,0,5,0,0,0,0,0,2,1,2
GHONI,1,0,1,2,5,2,0,5,0,0,0,0,0,0,5,1,5
ARNASAN,0,0,0,2,0,0,0,0,0,0,2,2,2,2,0,0,0
RAUF,0,0,0,2,0,0,0,0,0,2,0,2,2,2,0,0,0
OCTAVIA,0,0,0,2,0,0,0,0,0,2,2,0,2,2,0,0,0
HIDAYAT,0,0,0,2,0,0,0,0,0,2,2,2,0,2,0,0,0
JUNAEDI,0,0,0,2,0,0,0,0,0,2,2,2,2,0,0,0,0
PATEK,1,0,5,2,5,2,0,2,5,0,0,0,0,0,0,1,5
FERI,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,1
SARIJO,1,0,5,2,1,2,0,2,5,0,0,0,0,0,5,1,0
